"Coord","Col","Row","group_clearsky","dist_to_center","center_group","Rep","Zone","Selected"
15.049,49,15,"4",35.3020200131597,"no",2,"Sampling","no"
15.053,53,15,"2",0,"yes",3,"Sampling","selected"
15.054,54,15,"2",6.60823565421511,"no",3,"Sampling","selected"
15.055,55,15,"2",17.1358741182068,"no",3,"Sampling","selected"
15.056,56,15,"2",26.1188839916194,"no",3,"Sampling","no"
15.057,57,15,"1",27.4755777897133,"no",3,"Sampling","no"
15.058,58,15,"1",23.4370233069478,"no",3,"Sampling","no"
15.059,59,15,"1",25.0387783982802,"no",3,"Sampling","no"
15.06,60,15,"1",29.0566718848987,"no",3,"Sampling","no"
15.061,61,15,"1",33.6143182563252,"no",3,"Sampling","no"
15.062,62,15,"4",36.0382007622084,"no",3,"Sampling","no"
15.063,63,15,"4",33.8676623498302,"no",3,"Sampling","no"
15.064,64,15,"4",31.9750687524769,"no",3,"Sampling","no"
15.068,68,15,"2",13.1778818092814,"no",4,"Sampling","selected"
15.069,69,15,"2",11.8084241003481,"no",4,"Sampling","selected"
15.07,70,15,"2",18.3575453583839,"no",4,"Sampling","no"
15.071,71,15,"2",25.7972920037715,"no",4,"Sampling","no"
15.072,72,15,"1",28.2324838901058,"no",4,"Sampling","no"
15.073,73,15,"1",23.7207399516404,"no",4,"Sampling","no"
15.074,74,15,"1",25.1568954281136,"no",4,"Sampling","no"
15.075,75,15,"1",28.8182279386537,"no",4,"Sampling","no"
15.076,76,15,"1",32.7565164294123,"no",4,"Sampling","no"
15.077,77,15,"4",36.8796884516549,"no",4,"Sampling","no"
16.023,23,16,"2",27.6571767182811,"no",1,"Sampling","no"
16.024,24,16,"2",28.6280868743674,"no",1,"Sampling","no"
16.025,25,16,"2",29.2784636381392,"no",1,"Sampling","no"
16.026,26,16,"3",32.7171174687151,"no",1,"Sampling","no"
16.027,27,16,"3",37.6021964638064,"no",1,"Sampling","no"
16.028,28,16,"1",37.9051154607508,"no",1,"Sampling","no"
16.029,29,16,"1",38.4109880695691,"no",1,"Sampling","no"
16.03,30,16,"4",33.8601989892808,"no",1,"Sampling","no"
16.031,31,16,"4",29.6767519610038,"no",1,"Sampling","no"
16.032,32,16,"4",23.5485563695727,"no",1,"Sampling","no"
16.033,33,16,"4",22.2485883185022,"no",1,"Sampling","no"
16.034,34,16,"4",25.3590454796311,"no",1,"Sampling","no"
16.038,38,16,"2",30.1740575430866,"no",2,"Sampling","no"
16.039,39,16,"2",28.7534781653848,"no",2,"Sampling","no"
16.04,40,16,"2",30.1133498281509,"no",2,"Sampling","no"
16.041,41,16,"3",32.6581613154867,"no",2,"Sampling","no"
16.042,42,16,"3",37.1818127660537,"no",2,"Sampling","no"
16.043,43,16,"1",37.6875424524397,"no",2,"Sampling","no"
16.044,44,16,"1",38.1744678049805,"no",2,"Sampling","no"
16.045,45,16,"4",33.8261137781654,"no",2,"Sampling","no"
